,v1_unit,dlgn_unit,upper_bound,ampc,loss
423,1,1_1,0.1,0.01744,0.1443
424,1,1_1,0.1,0.0188,0.0911
425,1,1_1,0.1,0.02046,0.07263
426,1,1_1,0.1,0.02644,0.10175
427,1,1_1,0.1,0.02103,0.0895
428,1,1_1,0.1,0.02216,0.07275
429,1,1_1,0.1,0.0193,0.1095
430,1,1_1,0.1,0.01875,0.1067
431,1,1_1,0.1,0.01595,0.0927
432,1,1_1,0.1,0.01502,0.1456
433,1,1_1,0.1,0.01884,0.07446
434,1,1_1,0.1,0.0196,0.0787
435,1,1_1,0.1,0.01488,0.0733
436,1,1_1,0.1,0.02164,0.1008
437,1,1_1,0.1,0.02263,0.0789
438,1,1_1,0.1,0.01756,0.1571
439,1,1_1,0.1,0.02904,0.0848
440,1,1_1,0.1,0.02002,0.1018
441,1,1_1,0.1,0.01694,0.07446
442,1,1_1,0.1,0.01851,0.07465
443,1,1_1,0.1,0.01553,0.07227
444,1,1_1,0.1,0.01701,0.0891
445,1,1_1,0.1,0.01588,0.073
446,1,1_1,0.1,0.01913,0.0691
447,1,1_1,0.1,0.02303,0.07245
448,1,1_1,0.1,0.02011,0.071
449,1,1_1,0.1,0.02477,0.0883
450,1,1_1,0.1,0.0195,0.07025
451,1,1_1,0.1,0.01842,0.0705
452,1,1_1,0.1,0.02025,0.07385
453,1,1_1,0.1,0.01816,0.0681
454,1,1_1,0.1,0.02315,0.07764
455,1,1_1,0.1,0.02148,0.116
456,1,1_1,0.1,0.0194,0.0862
457,1,1_1,0.1,0.02052,0.1069
458,1,1_1,0.1,0.02118,0.07855
459,1,1_1,0.1,0.01909,0.07886
460,1,1_1,0.1,0.01834,0.0986
461,1,1_1,0.1,0.02092,0.0776
462,1,1_1,0.1,0.01738,0.07666
463,1,1_1,0.1,0.02356,0.0889
464,1,1_1,0.1,0.03009,0.12036
465,1,1_1,0.1,0.01869,0.0696
466,1,1_1,0.1,0.02124,0.08704
467,1,1_1,0.1,0.01828,0.06964
468,1,1_1,0.1,0.01854,0.08655
469,1,1_1,0.1,0.01863,0.10394
470,1,1_1,0.1,0.01773,0.0977
471,1,1_1,0.1,0.021,0.0869
472,1,1_1,0.1,0.01775,0.0831
473,1,1_1,0.1,0.02539,0.10016
474,1,1_1,0.1,0.02011,0.08606
475,1,1_1,0.1,0.01791,0.0747
476,1,1_1,0.1,0.01945,0.07465
477,1,1_1,0.1,0.02707,0.1001
478,1,1_1,0.1,0.02054,0.10376
479,1,1_1,0.1,0.01918,0.0686
480,1,1_1,0.1,0.01839,0.101
481,1,1_1,0.1,0.02226,0.0948
482,1,1_1,0.1,0.02068,0.074
483,1,1_1,0.1,0.02179,0.0758
484,1,1_1,0.1,0.02072,0.0786
485,1,1_1,0.1,0.0162,0.0706
486,1,1_1,0.1,0.01848,0.0881
487,1,1_1,0.1,0.02092,0.0751
488,1,1_1,0.1,0.0191,0.0747
489,1,1_1,0.1,0.02032,0.08875
490,1,1_1,0.1,0.01537,0.1234
491,1,1_1,0.1,0.0189,0.07416
492,1,1_1,0.1,0.01735,0.0704
493,1,1_1,0.1,0.01918,0.06995
494,1,1_1,0.1,0.0164,0.147
495,1,1_1,0.1,0.0182,0.071
496,1,1_1,0.1,0.02827,0.094
